"","Task","Billable","Start.date","Start.time","End.date","End.time","Duration","Tags","Amount...","Start.datetime","End.datetime","tags"
"68",NA,"Yes","2023-01-31","08:00:00","2023-01-31","10:00:00",120,"Code,Python",NA,2023-01-31 08:00:00,2023-01-31 10:00:00,"Data Explore/Visualisation"
"69",NA,"Yes","2023-01-31","10:00:57","2023-01-31","10:34:40",33.7166666666667,"Meetings",NA,2023-01-31 10:00:57,2023-01-31 10:34:40,"Prod Manage"
"70",NA,"Yes","2023-01-31","10:30:00","2023-01-31","11:45:00",75,"Code,Python",NA,2023-01-31 10:30:00,2023-01-31 11:45:00,"AI / Deep Learning"
"71",NA,"Yes","2023-01-31","10:30:00","2023-01-31","11:45:00",75,"Code,Python",NA,2023-01-31 10:30:00,2023-01-31 11:45:00,"Data Explore/Visualisation"
"72",NA,"Yes","2023-01-31","11:54:28","2023-01-31","12:45:00",50.5333333333333,"Reports,Writing",NA,2023-01-31 11:54:28,2023-01-31 12:45:00,"Comms/Report and BI"
"73",NA,"Yes","2023-01-31","11:54:28","2023-01-31","12:45:00",50.5333333333333,"Reports,Writing",NA,2023-01-31 11:54:28,2023-01-31 12:45:00,"Sci Writing"
"74",NA,"Yes","2023-01-31","12:45:00","2023-01-31","16:15:00",210,"Code,Python",NA,2023-01-31 12:45:00,2023-01-31 16:15:00,"AI / Deep Learning"
"75",NA,"Yes","2023-01-31","12:45:00","2023-01-31","16:15:00",210,"Code,Python",NA,2023-01-31 12:45:00,2023-01-31 16:15:00,"Data Explore/Visualisation"
"76",NA,"Yes","2023-02-01","08:00:00","2023-02-01","10:15:00",135,"Code,Python",NA,2023-02-01 08:00:00,2023-02-01 10:15:00,"AI / Deep Learning"
"77",NA,"Yes","2023-02-01","08:00:00","2023-02-01","10:15:00",135,"Code,Python",NA,2023-02-01 08:00:00,2023-02-01 10:15:00,"Data Explore/Visualisation"
"78",NA,"Yes","2023-02-01","10:45:00","2023-02-01","11:15:00",30,"Project Management",NA,2023-02-01 10:45:00,2023-02-01 11:15:00,"Proj Manage"
"79",NA,"Yes","2023-02-01","11:15:00","2023-02-01","13:15:00",120,"Code,Python",NA,2023-02-01 11:15:00,2023-02-01 13:15:00,"AI / Deep Learning"
"80",NA,"Yes","2023-02-01","11:15:00","2023-02-01","13:15:00",120,"Code,Python",NA,2023-02-01 11:15:00,2023-02-01 13:15:00,"Data Explore/Visualisation"
"81",NA,"Yes","2023-02-01","13:15:00","2023-02-01","14:00:00",45,"Code,Python",NA,2023-02-01 13:15:00,2023-02-01 14:00:00,"AI / Deep Learning"
"82",NA,"Yes","2023-02-01","13:15:00","2023-02-01","14:00:00",45,"Code,Python",NA,2023-02-01 13:15:00,2023-02-01 14:00:00,"Data Explore/Visualisation"
"83",NA,"Yes","2023-02-01","13:55:04","2023-02-01","15:09:39",74.5833333333333,"Code,Python",NA,2023-02-01 13:55:04,2023-02-01 15:09:39,"AI / Deep Learning"
"84",NA,"Yes","2023-02-01","13:55:04","2023-02-01","15:09:39",74.5833333333333,"Code,Python",NA,2023-02-01 13:55:04,2023-02-01 15:09:39,"Data Explore/Visualisation"
"85",NA,"Yes","2023-02-02","07:00:00","2023-02-02","09:00:00",120,"Code,Python",NA,2023-02-02 07:00:00,2023-02-02 09:00:00,"AI / Deep Learning"
